OCC_CODE,Title - Alt,Alt_Description,Track
13-1161,Search Marketing Strategists - Search Engine Marketing Specialist,"Executes SEM campaigns by optimizing keywords, bids, and landing pages.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Engine Marketing Strategist,Designs comprehensive search marketing strategies to maximize online discoverability.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Engine Optimization Analyst,Analyzes website traffic and keyword trends to guide SEO improvements.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Engine Optimization Consultant,Advises organizations on how to improve website visibility and ranking through SEO best practices and audits.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Engine Optimization Specialist,Implements strategies to increase organic search rankings and drive qualified web traffic.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Engine Optimizer,Optimizes website content and metadata to improve search engine results and boost discoverability.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Engineer Marketing Specialist,Merges technical SEO knowledge with marketing objectives to support search engine visibility and site performance.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Marketing Analyst,Uses analytics to evaluate search marketing campaigns and recommend data-driven improvements.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Marketing Specialist,Creates and manages paid and organic search campaigns to drive targeted traffic and conversions.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Search Engine Optimization Strategist,Develops long-term SEO strategies aligned with marketing goals and content planning.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Social Media Specialist,Builds and manages social media profiles to support brand engagement and digital reach.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Social Media Strategist,Designs cross-platform social media campaigns that support broader digital marketing initiatives.,Advertising & Strategic Media
13-1161,Search Marketing Strategists - Technical Marketing Specialist,"Focuses on technical aspects of product promotion, including specifications and system integration messaging.",Advertising & Strategic Media
13-1161,Search Marketing Strategists - Web Marketing Strategist,"Develops and implements digital strategies for website traffic growth, lead generation, and brand visibility.",Advertising & Strategic Media
15-2051,Data Scientists - Marketing Data Scientist,Uses machine learning and statistical models to uncover trends in consumer data and optimize marketing performance.,Advertising & Strategic Media
15-2051,Business Intelligence Analysts - Marketing Database Analyst,"Manages and analyzes marketing databases to inform segmentation, targeting, and customer retention strategies.",Advertising & Strategic Media
25-2032,"Career/Technical Education Teachers, Secondary School - Business and Marketing Teacher",Teaches students the fundamentals of business and marketing in a career-focused high school curriculum.,Advertising & Strategic Media
25-2032,"Career/Technical Education Teachers, Secondary School - Marketing Education Teacher","Instructs secondary students in marketing concepts, preparing them for industry certifications and careers.",Advertising & Strategic Media
27-1024,Graphic Designers - Advertising Designer,"Creates visual assets for advertising campaigns including digital banners, social media posts, and print ads.",Advertising & Strategic Media
27-1024,Graphic Designers - Advertising Layout Worker,Assembles and formats print or digital ad layouts for publication according to design standards.,Advertising & Strategic Media
27-1024,Graphic Designers - Marketing Graphic Designer,Designs graphics and layouts that support branding and promotional efforts across marketing channels.,Advertising & Strategic Media
27-1026,Merchandise Displayers and Window Trimmers - In-Store Marketing Associate,Develops product displays and signage to attract customer attention and boost retail engagement.,Advertising & Strategic Media
27-2012,Producers and Directors - Promotions Producer,"Oversees the creation of broadcast or digital promotional content to highlight upcoming products, shows, or events.",Advertising & Strategic Media
27-3031,Public Relations Specialists - Communication Specialist,"Manages internal and external communications, ensuring consistent messaging and stakeholder alignment.",Advertising & Strategic Media
27-3031,Public Relations Specialists - Content Marketing Specialist,"Produces and manages content strategies across blog, social, and web to engage audiences and drive conversions.",Advertising & Strategic Media
27-3031,Public Relations Specialists - Marketing Communications Coordinator,Coordinates the planning and delivery of communications across marketing campaigns.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Marketing Communications Specialist,Crafts messaging and branded content for both internal and external audiences.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Marketing Coordinator,Supports the execution of integrated marketing and public relations campaigns.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Media Buyer,Selects and negotiates advertising space across media platforms to maximize exposure and ROI.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Media Planner,Analyzes audience data to recommend optimal media channels and schedule ad placements.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Media Relations Specialist,Builds relationships with journalists and manages media outreach to secure earned media coverage.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Media Specialist,Coordinates multimedia content and distribution across digital platforms and traditional media.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Public Relations Consultant,Provides expert advice on managing public image and handling media relations for individuals or organizations.,Advertising & Strategic Media
27-3031,Public Relations Specialists - Public Relations Coordinator,"Assists with PR campaigns, including media lists, press releases, and event planning.",Advertising & Strategic Media
27-3031,Public Relations Specialists - Public Relations Counselor,"Advises clients on reputation management, messaging, and stakeholder communications.",Advertising & Strategic Media
27-3031,Public Relations Specialists - Public Relations Officer,"Manages communications and public messaging for a company, nonprofit, or public institution.",Advertising & Strategic Media
27-3031,Public Relations Specialists - Public Relations Representative,"Acts as a liaison between a company and the media, delivering consistent and strategic messaging.",Advertising & Strategic Media
27-3031,Public Relations Specialists - Public Relations Specialist,Plans and executes campaigns that influence public perception and support brand objectives.,Advertising & Strategic Media
27-4021,Photographers - Advertising Photographer,"Captures compelling images for advertisements, product showcases, and branded content.",Advertising & Strategic Media
41-1012,First-Line Supervisors of Non-Retail Sales Workers - Advertising Material Distributors Supervisor,Oversees staff responsible for distributing promotional materials to target audiences.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Account Representative,Maintains client relationships and sells advertising services or space tailored to client goals.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Agent,Markets and sells advertising opportunities across media platforms to help clients reach their audiences.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Assistant,"Provides administrative support to advertising teams, helping organize assets and maintain schedules.",Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Consultant,"Offers strategic advice on improving ad effectiveness through targeting, placement, and messaging.",Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Coordinator,"Coordinates advertising logistics, liaising between clients, creatives, and sales teams.",Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Representative,Represents advertising services or products to potential clients and manages customer accounts.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Sales Representative,"Sells ad space or services, often working on commission and developing long-term client portfolios.",Advertising & Strategic Media
41-3011,Advertising Sales Agents - Advertising Solicitor,Solicits new advertising clients and manages ongoing ad placements and renewals.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Digital Advertising Sales Representative,"Sells digital advertising solutions such as banners, video ads, and programmatic packages.",Advertising & Strategic Media
41-3011,Advertising Sales Agents - Directory Advertising Sales Representative,Specializes in selling advertising listings in digital or print directories.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Display Advertising Sales Representative,"Focuses on visual ad formats in print or digital media, securing placements for clients.",Advertising & Strategic Media
41-3011,Advertising Sales Agents - Field Marketing Representative,Represents a brand in the field by promoting services and gathering consumer insights.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Marketing Representative,Builds client relationships and pitches marketing solutions tailored to customer needs.,Advertising & Strategic Media
41-3011,Advertising Sales Agents - Outdoor Advertising Leasing Agent,Negotiates leases and manages relationships with property owners for outdoor advertising locations like billboards.,Advertising & Strategic Media
41-3021,Insurance Sales Agents - Field Marketing Representative,"Promotes insurance products in the field through outreach, events, and one-on-one consultations.",Advertising & Strategic Media
41-3031,"Securities, Commodities, and Financial Services Sales Agents - Field Marketing Representative",Markets financial products and services by engaging prospects in targeted campaigns.,Advertising & Strategic Media
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products - Communication Equipment Sales Representative","Specializes in selling technical communications equipment, such as radio systems or teleconferencing tools.",Advertising & Strategic Media
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products - Field Marketing Representative",Promotes complex products through demonstrations and technical consultation in specialized industries.,Advertising & Strategic Media
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products - Marketing Representative","Serves as the face of technical products, tailoring messages to meet the needs of expert clients.",Advertising & Strategic Media
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products - Field Marketing Representative",Builds brand awareness and product interest through field campaigns targeting consumer or wholesale buyers.,Advertising & Strategic Media
41-9031,Sales Engineers - Field Marketing Representative,Merges technical expertise with sales skills to promote engineering-based solutions in the field.,Advertising & Strategic Media
41-9031,Sales Engineers - Technical Marketing Engineer,"Works at the intersection of engineering and marketing, translating technical specifications into compelling value propositions.",Advertising & Strategic Media
43-1011,First-Line Supervisors of Office and Administrative Support Workers - Advertising Dispatch Clerks Supervisor,Manages dispatch clerks who coordinate the distribution and delivery of advertising materials.,Advertising & Strategic Media
43-1011,First-Line Supervisors of Office and Administrative Support Workers - Classified Advertising Supervisor,"Oversees classified ad operations, ensuring accuracy and adherence to publication standards.",Advertising & Strategic Media
43-9031,Desktop Publishers - Advertising Associate,Formats and prepares advertising materials for print and digital distribution using publishing software.,Advertising & Strategic Media
43-9111,Statistical Assistants - Advertising Statistical Clerk,"Compiles and processes statistical data related to advertising performance, budgets, and audience reach.",Advertising & Strategic Media
51-5111,Prepress Technicians and Workers - Advertising Layout Worker,Prepares and assembles final layouts for printed advertising using prepress equipment and software.,Advertising & Strategic Media
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators - Editorial Cartoonist","Creates satirical illustrations that provide visual commentary on current events, often blending humor with political or cultural critique.",Journalism
27-2012,Producers and Directors - Broadcast News Producer,"Oversees the production and editorial flow of a live news broadcast, balancing breaking updates with scheduled segments.",Journalism
27-2012,Producers and Directors - Morning News Producer,"Plans and executes early-morning news shows with a focus on timeliness, pacing, and viewer engagement.",Journalism
27-2012,Producers and Directors - News Producer,"Manages the content, structure, and timing of a newscast, ensuring journalistic standards and deadlines are met.",Journalism
27-2012,Producers and Directors - News Production Supervisor,Coordinates technical crews and producers to keep daily newscasts running smoothly and on schedule.,Journalism
27-2012,Producers and Directors - Television News Producer,"Shapes the tone and structure of televised news programs by selecting stories, writing scripts, and guiding anchors.",Journalism
27-2012,Media Programming Directors - News Director,"Sets the editorial vision for a newsroom, making high-level decisions about story coverage, personnel, and broadcast integrity.",Journalism
27-2012,Media Technical Directors/Managers - News Technical Director,Operates the switchboard and technical controls during a live news broadcast to ensure flawless transitions and visual flow.,Journalism
27-3011,Broadcast Announcers and Radio Disc Jockeys - Anchor,"Presents news stories live on-air, often serving as the primary face and voice of a broadcast.",Journalism
27-3011,Broadcast Announcers and Radio Disc Jockeys - Morning News Anchor,Delivers early-morning news with energy and clarity to inform and engage waking audiences.,Journalism
27-3011,Broadcast Announcers and Radio Disc Jockeys - News Anchor,"Presents live or pre-recorded news stories, interviewing guests and providing real-time updates.",Journalism
27-3011,Broadcast Announcers and Radio Disc Jockeys - News Broadcaster,"Delivers scripted and breaking news across radio or TV formats, often in a solo format.",Journalism
27-3011,Broadcast Announcers and Radio Disc Jockeys - Sports Anchor,"Covers sports news and commentary, including game highlights, athlete profiles, and league analysis.",Journalism
27-3011,Broadcast Announcers and Radio Disc Jockeys - Television News Anchor,"Serves as the central on-air personality for a television newscast, guiding viewers through daily headlines.",Journalism
27-3011,Broadcast Announcers and Radio Disc Jockeys - Weather Anchor,"Interprets meteorological data and presents weather forecasts in an engaging, accessible manner.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Anchor","Combines live reporting and editorial oversight, guiding broadcast coverage with poise and credibility.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Breaking News Reporter","Reacts swiftly to unfolding events, often reporting live from the scene with developing information.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Broadcast Journalist","Researches, writes, and delivers news stories for television or radio, often working in fast-paced environments.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Broadcast News Advisor","Mentors journalism teams on best practices for ethical, timely, and engaging news coverage.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Correspondent","Reports from the field on major events or topics, offering firsthand insight and updates.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Data Journalist","Investigates and visualizes stories using data sets, charts, and statistical tools to uncover deeper insights.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Editorial Writer",Crafts persuasive opinion pieces that interpret current events through a clear editorial stance.,Journalism
27-3023,"News Analysts, Reporters, and Journalists - Environmental Journalist","Specializes in reporting on climate change, conservation, and ecological policy.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Fashion Journalist","Covers trends, designers, and industry events, bringing fashion news to readers and viewers.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Film Critic","Analyzes and reviews movies for journalistic publications, helping audiences interpret cinematic quality and meaning.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Foreign Correspondent",Reports on international events and cultural developments from overseas locations.,Journalism
27-3023,"News Analysts, Reporters, and Journalists - General Assignment Television News Reporter","Covers a variety of topics daily, often shifting between politics, crime, human interest, and more.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Journalist","Investigates, writes, and publishes stories across print, broadcast, or digital media platforms.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Magazine Journalist","Writes in-depth features or profiles for print or digital magazines, often with a narrative style.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Market News Reporter","Tracks and reports on economic trends, stock performance, and financial industry movements.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Media Analyst","Examines trends in news consumption, social media, or public discourse to inform editorial or business strategy.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Morning News Anchor","Leads the morning news desk, delivering a blend of headlines, interviews, and lifestyle segments.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Multimedia Journalist","Reports, writes, films, and edits their own stories across multiple platforms.",Journalism
27-3023,"News Analysts, Reporters, and Journalists - Music Journalist","Covers musical artists, trends, and reviews while exploring the cultural context of music.",Journalism
